Stat,Home,Away,MatchId,Quarter
+3,70,67,-,CbOSqht1,4
+1,70,69,-,CbOSqht1,4
+3,72,69,-,CbOSqht1,4
+1,72,71,-,CbOSqht1,4
+3,74,71,-,CbOSqht1,4
+1,74,73,-,CbOSqht1,4
+2,75,73,-,CbOSqht1,4
+3,76,73,-,CbOSqht1,4
-,76,76,-,CbOSqht1,4
+3,79,76,-,CbOSqht1,4
+6,82,76,-,CbOSqht1,4
+7,83,76,-,CbOSqht1,4
+8,84,76,-,CbOSqht1,4
+10,86,76,-,CbOSqht1,4
+12,88,76,-,CbOSqht1,4
+13,89,76,-,CbOSqht1,4
+14,90,76,-,CbOSqht1,4
+13,90,77,-,CbOSqht1,4
+12,90,78,-,CbOSqht1,4
+15,93,78,-,CbOSqht1,4
+13,93,80,-,CbOSqht1,4
+14,94,80,-,CbOSqht1,4
+15,95,80,-,CbOSqht1,4
+13,95,82,-,CbOSqht1,4
+16,98,82,-,CbOSqht1,4
+14,98,84,-,CbOSqht1,4
+15,99,84,-,CbOSqht1,4
+16,100,84,-,CbOSqht1,4
+13,100,87,-,CbOSqht1,4
